Derives benefit	Helps the Col 1 organism	MSI
Enterococcus faecium	Bacteroides thetaiotaomicron	0.049
Enterococcus faecium	Enterobacter cloacae	0.048
Enterococcus faecium	Lactobacillus mucosae	0.025
Enterococcus faecium	Bacteroides eggerthii	0.026
Enterococcus faecium	Citrobacter amalonaticus	0.046
Enterococcus faecium	Ruminococcus torques	0.007
Enterococcus faecium	Akkermansia muciniphila	0.023
Enterococcus faecium	Haemophilus parainfluenzae	0.021
Enterococcus faecium	Alistipes shahii	0.021
Enterococcus faecium	Parabacteroides johnsonii	0.03
Enterococcus faecium	Bacteroides fragilis	0.03
Enterococcus faecium	Roseburia inulinivorans	0.005
Enterococcus faecium	Bifidobacterium longum	0.06
Enterococcus faecium	Parabacteroides distasonis	0.03
Enterococcus faecium	Roseburia intestinalis	0.015
Enterococcus faecium	Clostridium clostridioforme	0.029
Enterococcus faecium	Bacteroides coprocola	0.013
Enterococcus faecium	Ruminococcus bromii	0.003
Enterococcus faecium	Bifidobacterium adolescentis	0.046
Enterococcus faecium	Escherichia coli	0.05
Enterococcus faecium	Bacteroides stercoris	0.037
Enterococcus faecium	Prevotella ruminicola	0.034
Enterococcus faecium	Pseudoflavonifractor capillosus	0.009
Enterococcus faecium	Blautia wexlerae	0.025
Enterococcus faecium	Alistipes putredinis	0.003
Enterococcus faecium	Eubacterium rectale	0.016
Enterococcus faecium	Bacteroides caccae	0.057
Enterococcus faecium	Desulfovibrio piger	0.029
Enterococcus faecium	Coprococcus catus	0.02
Enterococcus faecium	Bifidobacterium bifidum	0.045
Enterococcus faecium	Faecalibacterium prausnitzii	0.015
Enterococcus faecium	Streptococcus salivarius	0.025
Enterococcus faecium	Subdoligranulum variabile	0.016
Enterococcus faecium	Fusobacterium varium	0.026
Enterococcus faecium	Ruminococcus callidus	0.03
Enterococcus faecium	Collinsella tanakaei	0.021
Enterococcus faecium	Acidaminococcus fermentans	0.041
Enterococcus faecium	Desulfovibrio desulfuricans	0.04
Enterococcus faecium	Lactobacillus reuteri	0.033
Enterococcus faecium	Bacteroides uniformis	0.058
Enterococcus faecium	Phascolarctobacterium succinatutens	0.02
Enterococcus faecium	Bacteroides intestinalis	0.017
Enterococcus faecium	Bilophila wadsworthia	0.02
Enterococcus faecium	Alistipes finegoldii	0.024
Enterococcus faecium	Dorea longicatena	0.009
Enterococcus faecium	Klebsiella pneumoniae	0.045
Enterococcus faecium	Megasphaera elsdenii	0.032
Enterococcus faecium	Veillonella atypica	0.041
Enterococcus faecium	Shigella flexneri	0.046
Enterococcus faecium	Helicobacter pylori	0.013
Bacteroides thetaiotaomicron	Bifidobacterium longum	0.01
Bacteroides thetaiotaomicron	Bacteroides caccae	0.008
Bacteroides thetaiotaomicron	Desulfovibrio piger	0.008
Bacteroides thetaiotaomicron	Desulfovibrio desulfuricans	0.013
Bacteroides thetaiotaomicron	Bacteroides uniformis	0.008
Bacteroides thetaiotaomicron	Bilophila wadsworthia	0.009
Enterobacter cloacae	Bacteroides thetaiotaomicron	0.048
Enterobacter cloacae	Bacteroides eggerthii	0.014
Enterobacter cloacae	Parabacteroides johnsonii	0.006
Enterobacter cloacae	Bifidobacterium longum	0.035
Enterobacter cloacae	Bacteroides stercoris	0.016
Enterobacter cloacae	Bacteroides caccae	0.048
Enterobacter cloacae	Desulfovibrio piger	0.006
Enterobacter cloacae	Bifidobacterium bifidum	0.035
Enterobacter cloacae	Ruminococcus callidus	0.003
Enterobacter cloacae	Bacteroides uniformis	0.048
Enterobacter cloacae	Bacteroides intestinalis	0.006
Lactobacillus mucosae	Bacteroides thetaiotaomicron	0.067
