Derives benefit	Helps the Col 1 organism	MSI
Bilophila wadsworthia	Alistipes putredinis	0.006
Bilophila wadsworthia	Escherichia coli	0.025
Bilophila wadsworthia	Subdoligranulum variabile	0.011
Bilophila wadsworthia	Bacteroides uniformis	0.017
Bilophila wadsworthia	Fusobacterium varium	0.006
Bilophila wadsworthia	Roseburia inulinivorans	0.017
Bilophila wadsworthia	Eubacterium rectale	0.017
Bilophila wadsworthia	Bacteroides intestinalis	0.017
Bilophila wadsworthia	Bacteroides coprocola	0.017
Bilophila wadsworthia	Bacteroides stercoris	0.011
Bilophila wadsworthia	Desulfovibrio desulfuricans	0.008
Bilophila wadsworthia	Roseburia intestinalis	0.017
Bilophila wadsworthia	Bifidobacterium longum	0.017
Bilophila wadsworthia	Bacteroides caccae	0.011
Bilophila wadsworthia	Clostridium clostridioforme	0.013
Bilophila wadsworthia	Pseudoflavonifractor capillosus	0.011
Bilophila wadsworthia	Parabacteroides johnsonii	0.011
Bilophila wadsworthia	Bacteroides eggerthii	0.017
Bilophila wadsworthia	Parabacteroides distasonis	0.017
Bilophila wadsworthia	Dorea longicatena	0.017
Phascolarctobacterium succinatutens	Bilophila wadsworthia	0.004
Phascolarctobacterium succinatutens	Alistipes putredinis	0.004
Phascolarctobacterium succinatutens	Escherichia coli	0.006
Phascolarctobacterium succinatutens	Subdoligranulum variabile	0.004
Phascolarctobacterium succinatutens	Faecalibacterium prausnitzii	0.004
Phascolarctobacterium succinatutens	Bacteroides uniformis	0.006
Phascolarctobacterium succinatutens	Shigella flexneri	0.004
Phascolarctobacterium succinatutens	Enterobacter cloacae	0.004
Phascolarctobacterium succinatutens	Eubacterium rectale	0.002
Phascolarctobacterium succinatutens	Bacteroides intestinalis	0.004
Phascolarctobacterium succinatutens	Bacteroides coprocola	0.004
Phascolarctobacterium succinatutens	Bacteroides stercoris	0.006
Phascolarctobacterium succinatutens	Desulfovibrio piger	0.004
Phascolarctobacterium succinatutens	Roseburia intestinalis	0.002
Phascolarctobacterium succinatutens	Parabacteroides johnsonii	0.004
Phascolarctobacterium succinatutens	Bacteroides eggerthii	0.002
Acidaminococcus fermentans	Bifidobacterium bifidum	0.004
Acidaminococcus fermentans	Escherichia coli	0.007
Acidaminococcus fermentans	Bacteroides uniformis	0.004
Acidaminococcus fermentans	Fusobacterium varium	0.022
Acidaminococcus fermentans	Eubacterium rectale	0.004
Acidaminococcus fermentans	Bacteroides intestinalis	0.004
Acidaminococcus fermentans	Bacteroides coprocola	0.004
Acidaminococcus fermentans	Roseburia intestinalis	0.004
Acidaminococcus fermentans	Bifidobacterium longum	0.004
Acidaminococcus fermentans	Bacteroides eggerthii	0.004
Acidaminococcus fermentans	Parabacteroides distasonis	0.004
Citrobacter amalonaticus	Acidaminococcus fermentans	0.002
Citrobacter amalonaticus	Alistipes putredinis	0.006
Citrobacter amalonaticus	Bifidobacterium bifidum	0.025
Citrobacter amalonaticus	Subdoligranulum variabile	0.002
Citrobacter amalonaticus	Megasphaera elsdenii	0.002
Citrobacter amalonaticus	Faecalibacterium prausnitzii	0.022
Citrobacter amalonaticus	Bacteroides uniformis	0.047
Citrobacter amalonaticus	Fusobacterium varium	0.014
Citrobacter amalonaticus	Bifidobacterium adolescentis	0.047
Citrobacter amalonaticus	Streptococcus salivarius	0.022
Citrobacter amalonaticus	Roseburia inulinivorans	0.029
Citrobacter amalonaticus	Eubacterium rectale	0.029
Citrobacter amalonaticus	Bacteroides intestinalis	0.006
Citrobacter amalonaticus	Bacteroides coprocola	0.006
Citrobacter amalonaticus	Bacteroides thetaiotaomicron	0.055
Citrobacter amalonaticus	Bacteroides stercoris	0.041
Citrobacter amalonaticus	Roseburia intestinalis	0.029
Citrobacter amalonaticus	Bifidobacterium longum	0.025
Citrobacter amalonaticus	Bacteroides caccae	0.033
Citrobacter amalonaticus	Clostridium clostridioforme	0.012
Citrobacter amalonaticus	Bacteroides eggerthii	0.027
Citrobacter amalonaticus	Parabacteroides distasonis	0.006
Citrobacter amalonaticus	Dorea longicatena	0.006
Dialister invisus	Bilophila wadsworthia	0.031
Dialister invisus	Phascolarctobacterium succinatutens	0.031
Dialister invisus	Acidaminococcus fermentans	0.031
Dialister invisus	Citrobacter amalonaticus	0.041
Dialister invisus	Alistipes putredinis	0.031
Dialister invisus	Bifidobacterium bifidum	0.031
Dialister invisus	Escherichia coli	0.031
Dialister invisus	Subdoligranulum variabile	0.031
Dialister invisus	Haemophilus parainfluenzae	0.01
Dialister invisus	Lactobacillus reuteri	0.003
Dialister invisus	Megasphaera elsdenii	0.031
Dialister invisus	Ruminococcus callidus	0.031
Dialister invisus	Faecalibacterium prausnitzii	0.031
Dialister invisus	Bacteroides uniformis	0.031
Dialister invisus	Fusobacterium varium	0.031
Dialister invisus	Prevotella ruminicola	0.031
Dialister invisus	Streptococcus salivarius	0.01
Dialister invisus	Shigella flexneri	0.041
Dialister invisus	Blautia wexlerae	0.031
Dialister invisus	Enterobacter cloacae	0.041
Dialister invisus	Collinsella tanakaei	0.01
Dialister invisus	Eubacterium rectale	0.031
Dialister invisus	Bacteroides intestinalis	0.031
Dialister invisus	Bacteroides coprocola	0.031
Dialister invisus	Veillonella atypica	0.031
Dialister invisus	Bacteroides stercoris	0.031
Dialister invisus	Desulfovibrio desulfuricans	0.031
Dialister invisus	Desulfovibrio piger	0.031
Dialister invisus	Roseburia intestinalis	0.031
Dialister invisus	Bifidobacterium longum	0.031
Dialister invisus	Bacteroides caccae	0.031
Dialister invisus	Clostridium clostridioforme	0.031
Dialister invisus	Parabacteroides johnsonii	0.031
Dialister invisus	Bacteroides eggerthii	0.031
Dialister invisus	Parabacteroides distasonis	0.031
Dialister invisus	Dorea longicatena	0.031
Akkermansia muciniphila	Bilophila wadsworthia	0.031
Akkermansia muciniphila	Phascolarctobacterium succinatutens	0.031
Akkermansia muciniphila	Acidaminococcus fermentans	0.031
Akkermansia muciniphila	Citrobacter amalonaticus	0.031
Akkermansia muciniphila	Alistipes putredinis	0.038
Akkermansia muciniphila	Escherichia coli	0.031
Akkermansia muciniphila	Subdoligranulum variabile	0.031
Akkermansia muciniphila	Megasphaera elsdenii	0.038
Akkermansia muciniphila	Ruminococcus callidus	0.031
Akkermansia muciniphila	Faecalibacterium prausnitzii	0.031
Akkermansia muciniphila	Bacteroides uniformis	0.031
Akkermansia muciniphila	Fusobacterium varium	0.031
Akkermansia muciniphila	Prevotella ruminicola	0.031
Akkermansia muciniphila	Shigella flexneri	0.031
Akkermansia muciniphila	Blautia wexlerae	0.031
Akkermansia muciniphila	Enterobacter cloacae	0.031
Akkermansia muciniphila	Bacteroides fragilis	0.007
Akkermansia muciniphila	Eubacterium rectale	0.031
Akkermansia muciniphila	Bacteroides intestinalis	0.031
Akkermansia muciniphila	Bacteroides coprocola	0.031
Akkermansia muciniphila	Bacteroides thetaiotaomicron	0.007
Akkermansia muciniphila	Veillonella atypica	0.031
Akkermansia muciniphila	Bacteroides stercoris	0.031
Akkermansia muciniphila	Desulfovibrio desulfuricans	0.031
Akkermansia muciniphila	Desulfovibrio piger	0.031
Akkermansia muciniphila	Roseburia intestinalis	0.031
Akkermansia muciniphila	Bifidobacterium longum	0.031
Akkermansia muciniphila	Bacteroides caccae	0.031
Akkermansia muciniphila	Clostridium clostridioforme	0.031
Akkermansia muciniphila	Parabacteroides johnsonii	0.031
Akkermansia muciniphila	Bacteroides eggerthii	0.031
Akkermansia muciniphila	Parabacteroides distasonis	0.038
Akkermansia muciniphila	Dorea longicatena	0.031
Lactobacillus mucosae	Bilophila wadsworthia	0.018
Lactobacillus mucosae	Phascolarctobacterium succinatutens	0.018
Lactobacillus mucosae	Acidaminococcus fermentans	0.053
Lactobacillus mucosae	Citrobacter amalonaticus	0.053
Lactobacillus mucosae	Alistipes putredinis	0.018
Lactobacillus mucosae	Bifidobacterium bifidum	0.053
Lactobacillus mucosae	Escherichia coli	0.059
Lactobacillus mucosae	Subdoligranulum variabile	0.018
Lactobacillus mucosae	Haemophilus parainfluenzae	0.035
Lactobacillus mucosae	Megasphaera elsdenii	0.053
Lactobacillus mucosae	Ruminococcus callidus	0.053
Lactobacillus mucosae	Faecalibacterium prausnitzii	0.018
Lactobacillus mucosae	Bacteroides uniformis	0.053
Lactobacillus mucosae	Fusobacterium varium	0.018
Lactobacillus mucosae	Bifidobacterium adolescentis	0.035
Lactobacillus mucosae	Prevotella ruminicola	0.053
Lactobacillus mucosae	Shigella flexneri	0.059
Lactobacillus mucosae	Blautia wexlerae	0.053
Lactobacillus mucosae	Enterobacter cloacae	0.053
Lactobacillus mucosae	Bacteroides fragilis	0.035
Lactobacillus mucosae	Coprococcus catus	0.035
Lactobacillus mucosae	Eubacterium rectale	0.018
Lactobacillus mucosae	Bacteroides intestinalis	0.059
Lactobacillus mucosae	Bacteroides coprocola	0.053
Lactobacillus mucosae	Bacteroides thetaiotaomicron	0.035
Lactobacillus mucosae	Veillonella atypica	0.053
Lactobacillus mucosae	Bacteroides stercoris	0.053
Lactobacillus mucosae	Alistipes shahii	0.035
Lactobacillus mucosae	Desulfovibrio desulfuricans	0.059
Lactobacillus mucosae	Klebsiella pneumoniae	0.035
Lactobacillus mucosae	Desulfovibrio piger	0.018
Lactobacillus mucosae	Helicobacter pylori	0.035
Lactobacillus mucosae	Roseburia intestinalis	0.018
Lactobacillus mucosae	Bifidobacterium longum	0.018
Lactobacillus mucosae	Bacteroides caccae	0.053
Lactobacillus mucosae	Clostridium clostridioforme	0.053
Lactobacillus mucosae	Parabacteroides johnsonii	0.059
Lactobacillus mucosae	Bacteroides eggerthii	0.053
Lactobacillus mucosae	Alistipes finegoldii	0.035
Lactobacillus mucosae	Parabacteroides distasonis	0.059
Lactobacillus mucosae	Dorea longicatena	0.018
Alistipes putredinis	Acidaminococcus fermentans	0.018
Alistipes putredinis	Subdoligranulum variabile	0.018
Alistipes putredinis	Megasphaera elsdenii	0.018
Alistipes putredinis	Faecalibacterium prausnitzii	0.018
Alistipes putredinis	Fusobacterium varium	0.018
Alistipes putredinis	Roseburia inulinivorans	0.018
Alistipes putredinis	Eubacterium rectale	0.018
Alistipes putredinis	Roseburia intestinalis	0.018
Ruminococcus bromii	Bilophila wadsworthia	0.034
Ruminococcus bromii	Phascolarctobacterium succinatutens	0.028
Ruminococcus bromii	Acidaminococcus fermentans	0.028
Ruminococcus bromii	Citrobacter amalonaticus	0.028
Ruminococcus bromii	Akkermansia muciniphila	0.019
Ruminococcus bromii	Alistipes putredinis	0.034
Ruminococcus bromii	Escherichia coli	0.053
Ruminococcus bromii	Subdoligranulum variabile	0.053
Ruminococcus bromii	Lactobacillus reuteri	0.019
Ruminococcus bromii	Megasphaera elsdenii	0.028
Ruminococcus bromii	Ruminococcus callidus	0.028
Ruminococcus bromii	Faecalibacterium prausnitzii	0.053
Ruminococcus bromii	Bacteroides uniformis	0.053
Ruminococcus bromii	Fusobacterium varium	0.028
Ruminococcus bromii	Enterococcus faecium	0.019
Ruminococcus bromii	Prevotella ruminicola	0.028
Ruminococcus bromii	Roseburia inulinivorans	0.019
Ruminococcus bromii	Shigella flexneri	0.034
Ruminococcus bromii	Enterobacter cloacae	0.034
Ruminococcus bromii	Bacteroides fragilis	0.019
Ruminococcus bromii	Coprococcus catus	0.019
Ruminococcus bromii	Eubacterium rectale	0.047
Ruminococcus bromii	Bacteroides intestinalis	0.053
Ruminococcus bromii	Bacteroides coprocola	0.053
Ruminococcus bromii	Bacteroides thetaiotaomicron	0.019
Ruminococcus bromii	Veillonella atypica	0.028
Ruminococcus bromii	Bacteroides stercoris	0.053
Ruminococcus bromii	Alistipes shahii	0.019
Ruminococcus bromii	Desulfovibrio desulfuricans	0.028
Ruminococcus bromii	Desulfovibrio piger	0.034
Ruminococcus bromii	Helicobacter pylori	0.006
Ruminococcus bromii	Roseburia intestinalis	0.047
Ruminococcus bromii	Bifidobacterium longum	0.047
Ruminococcus bromii	Bacteroides caccae	0.047
Ruminococcus bromii	Clostridium clostridioforme	0.028
Ruminococcus bromii	Pseudoflavonifractor capillosus	0.025
Ruminococcus bromii	Parabacteroides johnsonii	0.053
Ruminococcus bromii	Bacteroides eggerthii	0.047
Ruminococcus bromii	Alistipes finegoldii	0.006
Ruminococcus bromii	Parabacteroides distasonis	0.047
Ruminococcus bromii	Dorea longicatena	0.047
Ruminococcus torques	Bilophila wadsworthia	0.015
Ruminococcus torques	Phascolarctobacterium succinatutens	0.011
Ruminococcus torques	Acidaminococcus fermentans	0.011
Ruminococcus torques	Citrobacter amalonaticus	0.019
Ruminococcus torques	Akkermansia muciniphila	0.009
Ruminococcus torques	Alistipes putredinis	0.015
Ruminococcus torques	Ruminococcus bromii	0.021
Ruminococcus torques	Escherichia coli	0.026
Ruminococcus torques	Subdoligranulum variabile	0.024
Ruminococcus torques	Megasphaera elsdenii	0.011
Ruminococcus torques	Ruminococcus callidus	0.011
Ruminococcus torques	Bacteroides uniformis	0.036
Ruminococcus torques	Fusobacterium varium	0.011
Ruminococcus torques	Bifidobacterium adolescentis	0.03
Ruminococcus torques	Streptococcus salivarius	0.021
Ruminococcus torques	Roseburia inulinivorans	0.03
Ruminococcus torques	Shigella flexneri	0.015
Ruminococcus torques	Blautia wexlerae	0.011
Ruminococcus torques	Enterobacter cloacae	0.024
Ruminococcus torques	Bacteroides fragilis	0.021
Ruminococcus torques	Eubacterium rectale	0.032
Ruminococcus torques	Bacteroides intestinalis	0.024
Ruminococcus torques	Bacteroides coprocola	0.024
Ruminococcus torques	Bacteroides thetaiotaomicron	0.03
Ruminococcus torques	Veillonella atypica	0.011
Ruminococcus torques	Bacteroides stercoris	0.045
Ruminococcus torques	Desulfovibrio desulfuricans	0.011
Ruminococcus torques	Klebsiella pneumoniae	0.015
Ruminococcus torques	Desulfovibrio piger	0.015
Ruminococcus torques	Roseburia intestinalis	0.032
Ruminococcus torques	Bifidobacterium longum	0.011
Ruminococcus torques	Bacteroides caccae	0.019
Ruminococcus torques	Clostridium clostridioforme	0.011
Ruminococcus torques	Pseudoflavonifractor capillosus	0.004
Ruminococcus torques	Parabacteroides johnsonii	0.024
Ruminococcus torques	Bacteroides eggerthii	0.041
Ruminococcus torques	Alistipes finegoldii	0.004
Ruminococcus torques	Parabacteroides distasonis	0.019
Ruminococcus torques	Dorea longicatena	0.011
Bifidobacterium bifidum	Bilophila wadsworthia	0.04
Bifidobacterium bifidum	Akkermansia muciniphila	0.047
Bifidobacterium bifidum	Ruminococcus bromii	0.057
Bifidobacterium bifidum	Ruminococcus torques	0.047
Bifidobacterium bifidum	Escherichia coli	0.043
Bifidobacterium bifidum	Subdoligranulum variabile	0.047
Bifidobacterium bifidum	Lactobacillus reuteri	0.043
Bifidobacterium bifidum	Faecalibacterium prausnitzii	0.043
Bifidobacterium bifidum	Bacteroides uniformis	0.064
Bifidobacterium bifidum	Enterococcus faecium	0.043
Bifidobacterium bifidum	Roseburia inulinivorans	0.064
Bifidobacterium bifidum	Eubacterium rectale	0.064
Bifidobacterium bifidum	Bacteroides intestinalis	0.047
Bifidobacterium bifidum	Bacteroides coprocola	0.047
Bifidobacterium bifidum	Bacteroides thetaiotaomicron	0.064
Bifidobacterium bifidum	Bacteroides stercoris	0.064
Bifidobacterium bifidum	Roseburia intestinalis	0.064
Bifidobacterium bifidum	Bifidobacterium longum	0.047
Bifidobacterium bifidum	Bacteroides caccae	0.047
Bifidobacterium bifidum	Pseudoflavonifractor capillosus	0.047
Bifidobacterium bifidum	Parabacteroides johnsonii	0.047
Bifidobacterium bifidum	Bacteroides eggerthii	0.064
Bifidobacterium bifidum	Parabacteroides distasonis	0.047
Bifidobacterium bifidum	Dorea longicatena	0.043
Escherichia coli	Citrobacter amalonaticus	0.011
Escherichia coli	Alistipes putredinis	0.005
Escherichia coli	Subdoligranulum variabile	0.003
Escherichia coli	Megasphaera elsdenii	0.003
Escherichia coli	Faecalibacterium prausnitzii	0.019
Escherichia coli	Bacteroides uniformis	0.039
Escherichia coli	Fusobacterium varium	0.013
Escherichia coli	Bifidobacterium adolescentis	0.039
Escherichia coli	Prevotella ruminicola	0.016
Escherichia coli	Roseburia inulinivorans	0.026
Escherichia coli	Shigella flexneri	0.011
Escherichia coli	Enterobacter cloacae	0.011
Escherichia coli	Eubacterium rectale	0.026
Escherichia coli	Bacteroides intestinalis	0.005
Escherichia coli	Bacteroides coprocola	0.005
Escherichia coli	Bacteroides thetaiotaomicron	0.045
Escherichia coli	Bacteroides stercoris	0.034
Escherichia coli	Roseburia intestinalis	0.026
Escherichia coli	Bifidobacterium longum	0.021
Escherichia coli	Bacteroides caccae	0.028
Escherichia coli	Clostridium clostridioforme	0.016
Escherichia coli	Bacteroides eggerthii	0.023
Escherichia coli	Parabacteroides distasonis	0.005
Subdoligranulum variabile	Bacteroides uniformis	0.014
Subdoligranulum variabile	Eubacterium rectale	0.014
Subdoligranulum variabile	Bacteroides intestinalis	0.002
Subdoligranulum variabile	Bacteroides coprocola	0.002
Subdoligranulum variabile	Bacteroides stercoris	0.011
Subdoligranulum variabile	Roseburia intestinalis	0.014
Subdoligranulum variabile	Bacteroides eggerthii	0.014
Subdoligranulum variabile	Parabacteroides distasonis	0.002
Haemophilus parainfluenzae	Bilophila wadsworthia	0.021
Haemophilus parainfluenzae	Phascolarctobacterium succinatutens	0.021
Haemophilus parainfluenzae	Acidaminococcus fermentans	0.021
Haemophilus parainfluenzae	Citrobacter amalonaticus	0.021
Haemophilus parainfluenzae	Alistipes putredinis	0.024
Haemophilus parainfluenzae	Ruminococcus bromii	0.003
Haemophilus parainfluenzae	Bifidobacterium bifidum	0.024
Haemophilus parainfluenzae	Escherichia coli	0.021
Haemophilus parainfluenzae	Subdoligranulum variabile	0.021
Haemophilus parainfluenzae	Lactobacillus reuteri	0.003
Haemophilus parainfluenzae	Megasphaera elsdenii	0.021
Haemophilus parainfluenzae	Ruminococcus callidus	0.021
Haemophilus parainfluenzae	Faecalibacterium prausnitzii	0.021
Haemophilus parainfluenzae	Bacteroides uniformis	0.024
Haemophilus parainfluenzae	Fusobacterium varium	0.024
Haemophilus parainfluenzae	Bifidobacterium adolescentis	0.003
Haemophilus parainfluenzae	Roseburia inulinivorans	0.003
Haemophilus parainfluenzae	Shigella flexneri	0.021
Haemophilus parainfluenzae	Blautia wexlerae	0.021
Haemophilus parainfluenzae	Enterobacter cloacae	0.021
Haemophilus parainfluenzae	Bacteroides fragilis	0.003
Haemophilus parainfluenzae	Collinsella tanakaei	0.003
Haemophilus parainfluenzae	Eubacterium rectale	0.024
Haemophilus parainfluenzae	Bacteroides intestinalis	0.024
Haemophilus parainfluenzae	Bacteroides coprocola	0.024
Haemophilus parainfluenzae	Veillonella atypica	0.021
Haemophilus parainfluenzae	Bacteroides stercoris	0.021
Haemophilus parainfluenzae	Desulfovibrio desulfuricans	0.021
Haemophilus parainfluenzae	Desulfovibrio piger	0.021
Haemophilus parainfluenzae	Roseburia intestinalis	0.024
