organism,Acidaminococcus fermentans,Akkermansia muciniphila,Alistipes finegoldii,Alistipes putredinis,Alistipes shahii,Bacteroides caccae,Bacteroides coprocola,Bacteroides eggerthii,Bacteroides fragilis,Bacteroides intestinalis,Bacteroides stercoris,Bacteroides thetaiotaomicron,Bacteroides uniformis,Bifidobacterium adolescentis,Bifidobacterium bifidum,Bifidobacterium longum,Bilophila wadsworthia,Blautia wexlerae,Citrobacter amalonaticus,Clostridium clostridioforme,Collinsella tanakaei,Coprococcus catus,Desulfovibrio desulfuricans,Desulfovibrio piger,Dialister invisus,Dorea longicatena,Enterobacter cloacae,Enterococcus faecium,Escherichia coli,Eubacterium rectale,Faecalibacterium prausnitzii,Fusobacterium varium,Haemophilus parainfluenzae,Helicobacter pylori,Klebsiella pneumoniae,Lactobacillus mucosae,Lactobacillus reuteri,Megasphaera elsdenii,Parabacteroides distasonis,Parabacteroides johnsonii,Phascolarctobacterium succinatutens,Prevotella ruminicola,Pseudoflavonifractor capillosus,Roseburia intestinalis,Roseburia inulinivorans,Ruminococcus bromii,Ruminococcus callidus,Ruminococcus torques,Shigella flexneri,Streptococcus salivarius,Subdoligranulum variabile,Veillonella atypica
Acidaminococcus fermentans,0,1,2,1,2,0,0,0,1,0,0,1,0,2,0,0,0,0,1,1,1,1,1,0,1,1,0,2,1,0,0,0,1,2,1,3,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0
Akkermansia muciniphila,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5,0,6,1,0,1,2,2,0,0,0,0,0,1,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0
Alistipes finegoldii,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,2,1,0,0,0,1,1,0,1,1,2,1,1,1,2,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
Alistipes putredinis,1,1,2,0,2,1,0,1,2,0,0,1,0,1,0,1,1,2,1,0,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,2,0,0,1,1,0,2,1,2,2,2,2,1,2,1,1
Alistipes shahii,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,6,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Bacteroides caccae,0,3,4,1,4,0,4,2,3,3,2,1,1,2,5,0,6,0,2,0,2,1,0,0,1,0,2,3,2,0,2,2,1,2,3,3,1,0,1,2,0,2,1,2,1,7,1,2,2,1,0,0
Bacteroides coprocola,1,1,2,0,2,1,0,1,2,0,0,1,0,2,5,1,7,2,1,0,2,1,1,1,1,1,1,2,1,1,3,1,2,1,2,3,2,0,0,1,1,0,2,1,2,8,2,3,1,2,1,1
Bacteroides eggerthii,1,2,2,0,2,0,1,0,1,1,1,1,0,2,6,1,7,2,2,1,2,1,1,1,1,1,2,3,2,0,4,2,2,1,3,3,1,0,0,1,1,0,2,0,1,7,2,3,2,1,2,1
Bacteroides fragilis,1,2,1,1,1,0,2,0,0,1,1,0,0,1,6,1,7,3,2,2,2,2,1,1,0,1,2,3,2,0,4,3,1,1,2,3,0,0,0,1,1,1,1,0,0,6,2,1,2,0,2,1
Bacteroides intestinalis,1,2,2,1,2,1,1,1,2,0,0,1,0,2,5,1,7,2,1,0,2,1,1,1,1,1,1,2,1,1,3,1,2,1,2,4,2,0,0,1,1,0,2,1,2,8,2,3,1,2,1,1
